,0
0,0.0
1,2.6394
2,5.2788
3,7.9182
4,10.5575
5,13.1969
6,15.8363
7,18.4757
8,21.1151
9,23.7545
10,26.3938
11,29.0332
12,31.6726
13,34.312
14,36.9514
15,39.5908
16,42.2301
17,44.8695
18,47.5089
19,50.1483
