,0
0,0.0
1,1.4142
2,2.0
3,2.4495
4,2.8284
5,3.1623
6,3.4641
7,3.7417
8,4.0
9,4.2426
10,4.4721
11,4.6904
12,4.899
13,5.099
14,5.2915
15,5.4772
16,5.6569
17,5.831
18,6.0
19,6.1644
